OUT_OF_MEMORY
STACK_OVERFLOW_ERROR
FILE_NOT_FOUND
ARRAY_INDEX_OUT_OF_BOUND
NULL_POINTER
STRING_INDEX_OUT_OF_BOUND
NO_CLASS_DEF_FOUND
NO_SUCH_METHOD_FOUND
NUMBER_FORMAT
ILLEGAL_ARGUMENT
CLASS_NOT_FOUND
